Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Umar Sadiq,NGA,FW,Real Sociedad,26,2,82,0,0,1,0,0,0,0,14.4,14.4,2.22,2.22,50,1.11,1.11,0,3.33,0,1.11,1.11,1.11,0,0
Samuel Sáiz,ESP,MF,Girona,32,8,240,0.37,0,2,0.74,0.74,0,0,60,45.2,0.74,1.11,40,0.74,0.74,0.37,1.11,0,0.74,0.37,1.48,2.22,0
Salvi,ESP,FWMF,Rayo Vallecano,31,12,276,0.65,0,0,0,0,0,0,34.8,18.7,0.32,1.29,20,2.26,1.61,0,0.97,0,0.65,0.65,1.61,6.13,0
Samuel,BRA,FWMF,Valencia,23,21,1781,0.15,0,2,0,0,0,0,35.7,27.3,0.66,1.01,39.4,1.82,1.21,0.4,1.36,0,2.73,1.06,1.67,2.58,0.1
Fede San Emeterio,ESP,MF,Cádiz,25,17,972,0.46,0,0,0,0,0,0,34.9,27.6,1.11,1.2,48,1.48,0.56,0.83,2.78,0,0.28,0,1.3,0.09,0
Oihan Sancet,ESP,MF,Athletic Club,22,21,1415,0.13,0,8,0.06,0.06,0,0,34.4,28.5,0.83,0.64,56.5,0.96,0.51,0.32,1.4,0,2.04,0.7,2.04,0.38,0
Antonio Sánchez,ESP,MF,Mallorca,26,18,639,0.56,0,0,0,0,0,0,37.9,28.7,0.56,0.99,36.4,1.13,0.7,0.56,2.11,0.14,1.41,0.7,1.55,2.25,0.14
Iván Sánchez,ESP,MFFW,Valladolid,30,15,708,0,0,0,0,0,0,0,40.6,32.9,0,0.63,0,1.14,0.89,0,1.01,0,1.52,0.63,2.78,2.41,0
Javi Sánchez,ESP,DF,Valladolid,25,17,1431,0.44,0,1,0,0,0,0,44.5,36.9,1.57,1.38,53.2,1.64,0.75,4.53,1.38,0.06,0.5,0.06,0.25,0.13,0
Manuel Sánchez,ESP,DF,Osasuna,22,15,834,0,0,0,0,0,0.11,0,45.8,36.3,0.75,0.54,58.3,2.8,1.83,2.04,0.75,0,0.54,0.11,0.86,3.76,0.11
Esteban Saveljich,MNE,FW,Rayo Vallecano,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Savi?,MNE,DF,Atlético Madrid,32,13,1154,0.16,0.08,0,0,0,0,0,57.6,50.5,2.73,1.64,62.5,1.88,1.41,2.81,1.41,0,0,0,0.39,0,0
Haris Seferovi?,SUI,MF,Celta Vigo,30,1,27,0,0,0,0,0,0,0,36.7,16.7,0,3.33,0,3.33,0,0,0,0,0,0,3.33,6.67,0
Jaime Seoane,ESP,MF,Getafe,26,11,287,0,0,0,0,0,0,0,28.4,22.8,0.31,0.63,33.3,3.13,1.25,0.63,1.25,0,0.63,0,1.25,0.31,0
David Silva,ESP,MF,Real Sociedad,37,16,1115,0.16,0,1,0,0,0.16,0,52.8,44.1,0.48,0.65,42.9,1.45,0.89,0.73,1.05,0,1.21,0.65,1.29,1.13,0
Rui Silva,POR,GK,Betis,29,18,1620,0.11,0,0,0,0,0,0,35.1,23.6,0.17,0,100,0.17,0.06,0.39,0,0,0,0,0,0,0
