Player,Nation,Position,Team,Age,Matches,Minutes,YellowCards,RedCards,Goals,PKGoals,PKAttempts,Assists,OwnGoals,PassAttempted,PassCompleted,AerialsWon,AerialsLost,AerialsWonPerc,Tackles,TacklesWon,Clearances,FoulsCommitted,PKConceded,Shots,ShotsTarget,FoulsDrawn,Crosses,PKWon
Bruno Guimarães,BRA,MF,Newcastle Utd,25,17,1397,0.19,0,3,0,0,0.19,0,54.7,44.6,0.58,0.39,60,2.45,1.23,0.84,1.42,0,0.9,0.32,2.71,0.45,0
Ýlkay Gündoðan,GER,MF,Manchester City,32,18,1252,0,0,2,0,0,0.14,0,57.3,50.1,1.01,0.43,70,1.37,0.79,0.65,1.01,0,2.23,0.58,0.86,1.08,0.07
Darko Gyabi,ENG,FW,Leeds United,18,1,8,0,0,0,0,0,0,0,40,40,0,0,0,20,20,0,0,0,10,0,10,0,0
Erling Haaland,NOR,FW,Manchester City,22,20,1636,0.16,0,25,0.22,0.22,0.16,0,15.9,11.7,1.37,1.26,52.1,0.11,0.05,0.55,0.82,0,3.85,1.98,0.82,0.27,0.05
Lewis Hall,ENG,DFMF,Chelsea,18,5,304,0.29,0,0,0,0,0,0,57.4,43.2,1.76,0.88,66.7,3.24,0.88,1.47,0.59,0,1.47,0.59,2.35,2.65,0
Luke Harris,WAL,MFFW,Fulham,17,3,13,0,0,0,0,0,0,0,140,130,0,0,0,0,0,0,10,0,0,0,0,10,0
Jack Harrison,ENG,FWMF,Leeds United,26,19,1328,0.14,0,1,0,0,0.27,0,40.5,25.7,0.27,1.55,14.8,1.62,0.61,0.47,1.42,0,1.22,0.47,1.42,6.49,0
Kai Havertz,GER,FWMF,Chelsea,23,21,1591,0.17,0,5,0,0,0.06,0,29.3,23.6,2.88,2.15,57.3,1.47,0.62,1.53,2.32,0,2.32,0.96,0.85,0.28,0
Jan Paul van Hecke,NED,DF,Brighton,22,2,80,0,0,0,0,0,0,0,107.8,103.3,1.11,2.22,33.3,2.22,1.11,2.22,0,0,2.22,0,0,0,0
Hwang Hee-chan,KOR,FW,Wolves,27,17,690,0.13,0,0,0,0,0.13,0,21.7,16.5,0.26,2.86,8.3,1.3,0.78,0.39,1.56,0,0.78,0.39,1.3,0.91,0
Dean Henderson,ENG,GK,Nott'ham Forest,25,18,1620,0.11,0,0,0,0,0,0,37.3,23.6,0.06,0,100,0,0,0.67,0.06,0.06,0,0,0.06,0,0
Jordan Henderson,ENG,MF,Liverpool,32,17,919,0.1,0,0,0,0,0,0,74.4,60.7,0.49,0.59,45.5,1.27,0.78,0.59,0.49,0,1.18,0.29,0.29,0.88,0
Wayne Hennessey,WAL,GK,Nott'ham Forest,36,2,180,0,0,0,0,0,0,0,28,22.5,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0
Rico Henry,ENG,DF,Brentford,25,21,1885,0,0,0,0,0,0.1,0,30.8,22.1,0.96,1.63,37,1.67,0.81,2.49,0.72,0,0.48,0.1,1,2.25,0
Son Heung-min,KOR,MFFW,Tottenham,30,21,1728,0.05,0,4,0,0,0.16,0,29.5,21,0.31,0.63,33.3,0.83,0.42,0.21,0.47,0,2.66,1.3,1.3,4.43,0
Aaron Hickey,SCO,DF,Brentford,20,10,739,0.49,0,0,0,0,0,0,38.5,31.2,0.49,0.73,40,2.32,1.71,1.34,0.85,0,0.49,0.12,2.07,1.59,0
Joseph Hodge,IRL,MF,Wolves,20,5,169,0.53,0,0,0,0,0,0,45.8,36.3,0.53,1.05,33.3,2.63,1.05,1.05,1.05,0,0.53,0,0.53,0.53,0
Rob Holding,ENG,DF,Arsenal,27,6,19,0,0,0,0,0,0,0,30,25,5,0,100,5,5,5,0,0,0,0,0,0,0
Mason Holgate,ENG,DF,Everton,26,4,320,0.28,0,0,0,0,0,0,41.1,29.7,1.67,1.67,50,2.22,1.11,6.11,0.83,0,0.83,0,1.11,0.28,0
Will Hughes,ENG,MF,Crystal Palace,27,16,376,0.95,0,0,0,0,0,0,40.5,29.8,0.71,1.19,37.5,3.33,1.67,0.24,2.86,0.24,0.48,0.48,1.19,2.38,0
Omari Hutchinson,ENG,FW,Chelsea,19,1,23,0,0,0,0,0,0,0,40,26.7,0,0,0,0,0,0,0,0,0,0,0,6.67,0
Pierre Højbjerg,DEN,MF,Tottenham,27,22,1961,0.09,0,4,0,0,0.14,0,66.3,58.6,0.69,0.18,78.9,1.56,0.73,1.74,1.01,0,1.06,0.32,1.06,0.5,0
Kelechi Iheanacho,NGA,FWMF,Leicester City,26,16,443,0,0,3,0,0,0.82,0,28.4,21.4,0.41,2.04,16.7,0.61,0.2,0.61,1.63,0,3.67,1.22,0.2,0.41,0
Danny Ings,ENG,FW,West Ham,30,3,53,0,0,0,0,0,0,0,18.3,10,1.67,6.67,20,3.33,1.67,0,0,0,3.33,0,5,0,0
Danny Ings,ENG,FW,Aston Villa,30,18,824,0.33,0,6,0.22,0.22,0,0,17.6,12.4,1.74,1.3,57.1,1.09,0.54,1.2,0.87,0,2.72,1.3,0.54,0.43,0
Alexander Isak,SWE,FW,Newcastle Utd,23,6,374,0,0,3,0.24,0.24,0,0,16.4,11.7,1.67,2.86,36.8,0.95,0.48,0.24,1.19,0,2.62,1.9,0.95,0,0
Alex Iwobi,NGA,MF,Everton,26,21,1872,0.1,0,1,0,0,0.24,0,43.9,34.7,0.19,0.63,23.5,1.97,1.01,0.96,0.48,0,0.91,0.24,0.29,2.21,0.05
Daniel James,WAL,FW,Leeds United,25,4,198,0,0,0,0,0,0,0,18.2,10.9,0,1.82,0,2.73,0.91,0.91,0.91,0,1.36,0.45,2.73,2.73,0
Daniel James,WAL,FW,Fulham,25,12,360,0,0,1,0,0,0,0,29.3,19,0.25,1.25,16.7,1,0.75,1,0.25,0,2.5,0.5,2.5,4,0.25
Reece James,ENG,DFMF,Chelsea,23,10,760,0.36,0,1,0,0,0.12,0,78.2,67.1,1.55,1.07,59.1,2.26,1.31,1.55,0.83,0,1.19,0.48,1.07,5.71,0
Vitaly Janelt,GER,MFDF,Brentford,24,22,1419,0.06,0,2,0,0,0.06,0,40.3,31.8,1.33,1.01,56.8,2.72,1.33,1.33,0.89,0,0.51,0.25,0.95,0.82,0
Pontus Jansson,SWE,DF,Brentford,31,7,515,0,0,0,0,0,0,0,42.3,34.4,2.98,1.58,65.4,0.53,0.35,4.39,0.18,0,0.18,0,0.18,0,0
Mathias Jensen,DEN,MF,Brentford,27,22,1675,0.16,0,3,0,0,0.22,0,49.4,33.7,0.38,0.7,35,2.42,1.13,0.86,1.13,0,0.75,0.22,0.65,5.22,0
Gabriel Jesus,BRA,FW,Arsenal,25,14,1219,0.3,0,5,0,0,0.37,0,29.8,24.1,1.78,3.41,34.3,1.41,1.19,0.74,1.78,0,3.7,1.48,2.81,0.52,0.07
Raúl Jiménez,MEX,FW,Wolves,31,7,325,0,0,0,0,0,0,0,17.5,12.2,3.33,2.5,57.1,0.56,0.56,1.11,1.11,0,3.33,1.11,1.94,0.28,0
Joelinton,BRA,MFFW,Newcastle Utd,26,20,1690,0.48,0,2,0,0,0.05,0,42.5,34.8,2.02,2.23,47.5,2.66,1.86,1.54,1.97,0,1.65,0.59,1.06,0.69,0.05
Ben Johnson,ENG,DF,West Ham,23,10,554,0,0,0,0,0,0,0,54.8,40,1.61,0.97,62.5,2.1,1.45,3.71,0.32,0,0,0,0.32,1.77,0
Brennan Johnson,WAL,FW,Nott'ham Forest,21,22,1796,0.2,0,5,0.05,0.1,0.1,0,15.9,8.7,0.65,1.75,27.1,0.9,0.7,0.05,1.15,0,1.6,0.8,0.55,2,0
Curtis Jones,ENG,MFFW,Liverpool,22,6,189,0.48,0,0,0,0,0,0,65.7,56.2,0,0,0,1.9,0.95,0.48,1.43,0,1.9,0.48,2.38,1.43,0
